NIN,FirstName,LastName,Sex,BirthDate,Wilaya,BloodGroup,Job,Generation,Parents
451938022466611112,Reda,MOKHTARI,M,1938-02-24,45,A-,Retraité,0,[]
451939061269648742,Saadia,MOKHTARI,F,1939-06-12,45,AB-,Retraité,0,[]
341957081539629742,Zinedine,MANSOURI,M,1957-08-15,34,A-,Mécanicien,0,[]
341959082452752208,Melissa,MANSOURI,F,1959-08-24,34,A+,Vendeuse,0,[]
281949070680308731,Said,GHARSI,M,1949-07-06,28,AB-,Retraité,0,[]
281947092311690253,Ouahiba,GHARSI,F,1947-09-23,28,O-,Retraité,0,[]
241945102438386788,Mustapha,FALEK,M,1945-10-24,24,AB-,Retraité,0,[]
241947121045440687,Kenza,FALEK,F,1947-12-10,24,O+,Retraité,0,[]
511931030438614237,Nadir,BENYAHIA,M,1931-03-04,51,O+,Commerçant,0,[]
511930010217687885,Dina,BENYAHIA,F,1930-01-02,51,O-,Retraité,0,[]
511941031731655237,Hacen,ZITOUNI,M,1941-03-17,51,A-,Retraité,0,[]
511939090725772107,Assia,ZITOUNI,F,1939-09-07,51,AB-,Retraité,0,[]
351949052441270164,Hocine,ABOUNE,M,1949-05-24,35,O-,Retraité,0,[]
351949112501107898,Salima,ABOUNE,F,1949-11-25,35,O-,Retraité,0,[]
041959031535550271,Islem,HAMIDI,M,1959-03-15,4,A-,Chauffeur routier,0,[]
041959070229444710,Madjda,HAMIDI,F,1959-07-02,4,A-,Ouvrier du bâtiment,0,[]
491952111120129415,Zoubir,ZEMMOURI,M,1952-11-11,49,B+,Retraité,0,[]
491950031295303207,Mouna,ZEMMOURI,F,1950-03-12,49,O+,Retraité,0,[]
051940092434637894,Fares,KHALDI,M,1940-09-24,5,AB-,Retraité,0,[]
051938011070078025,Fadila,KHALDI,F,1938-01-10,5,AB-,Retraité,0,[]
431935122817701440,Adel,ABOUNE,M,1935-12-28,43,O-,Retraité,0,[]
431935091667252445,Samia,ABOUNE,F,1935-09-16,43,A-,Retraité,0,[]
211950050442982235,Yacine,LAICHI,M,1950-05-04,21,O-,Retraité,0,[]
211949111138030523,Ines,LAICHI,F,1949-11-11,21,O-,Femme au foyer,0,[]
251939121253361116,Habib,SAADI,M,1939-12-12,25,B-,Retraité,0,[]
251941120781025783,Mounira,SAADI,F,1941-12-07,25,AB+,Enseignante,0,[]
461932021268352269,Arezki,TOUATI,M,1932-02-12,46,O+,Retraité,0,[]
461934050377855527,Asma,TOUATI,F,1934-05-03,46,A+,Retraité,0,[]
131954040726084432,Sofiane,ZEMMOURI,M,1954-04-07,13,B-,Retraité,0,[]
131956060488372957,Saadia,ZEMMOURI,F,1956-06-04,13,AB-,Chômeur,0,[]
401930020160346706,Habib,DAHMANI,M,1930-02-01,40,AB+,Retraité,0,[]
401931021046414835,Anissa,DAHMANI,F,1931-02-10,40,AB-,Retraité,0,[]
031938101353746733,Lamine,MANSOURI,M,1938-10-13,3,O+,Retraité,0,[]
031940030703704025,Wafa,MANSOURI,F,1940-03-07,3,B-,Retraité,0,[]
491956120356760803,Marwan,DAHMANI,M,1956-12-03,49,O+,Comptable,0,[]
491956112486391148,Fatiha,DAHMANI,F,1956-11-24,49,B+,Couturière,0,[]
441958071392736885,Lyes,KADRI,M,1958-07-13,44,AB-,Maçon,0,[]
441956062070107825,Kawthar,KADRI,F,1956-06-20,44,AB-,Femme au foyer,0,[]
151934092595775958,Salim,MOUSSAOUI,M,1934-09-25,15,B+,Retraité,0,[]
151936062760945311,Samia,MOUSSAOUI,F,1936-06-27,15,AB-,Retraité,0,[]
121936050642337341,Wassim,HAMKACEM,M,1936-05-06,12,O-,Retraité,0,[]
